Prep	Cast	Spell	Sch	Sub	Descriptor	Comp	Cast	Range	Target/Effect	Duration	Save	SR	Description	Book	pg	B	C	D	P	R	W	O
		Break Enchantment	abj			V,S	1min	close	up to one creature per level, all within 30 ft of each other	instant	see text	n	Frees subjects from enchantments, alterations, curses, and petrification.	PHB	207	4	5		4		5	
		Bull's Strength	tran			V,S,M/DF	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y (h/l)	Subject gains +4 to Str for 1 min./level.	PHB	207		2	2	2		2	
		Bull's Strength, Mass	tran			V,S,M/DF	1std	close	one creature/level, no two of which can be more than 30 ft apart	1 min/lvl	will neg (h/l)	y (h/l)	As bull's strength, affects one subject/level.	PHB	207		6	6			6	
		Burning Hands	evo		fire	V,S	1std	15 ft	cone-shaped burst	instant	ref ½	y	1d4/level fire damage (max 5d4).	PHB	207						1	
		Call Lightning	evo		electricity	V,S	1rd	med	one or more 30-ft-long vertical lines of lightning	1 min/lvl	ref ½	y	Calls down lightning bolts (3d6 per bolt) from sky.	PHB	207			3				
		Call Lightning Storm	evo		electricity	V,S	1rd	long	one or more 30-ft-long vertical lines of lightning	1 min/lvl	ref ½	y	As call lightning, but 5d6 damage per bolt.	PHB	207			5				
		Calm Animals	ench	compulsion	mind-affecting	V,S	1std	close	animals within 30 ft of each other	1 min/lvl	will neg; see text	y	Calms (2d4 + level) HD of animals.	PHB	207			1		1		
		Calm Emotions	ench	compulsion	mind-affecting	V,S,DF	1std	med	creatures in a 20-ft-radius spread	(c), ≤ 1 rd/lvl (d)	will neg	y	Calms creatures, negating emotion effects.	PHB	207	2	2					
		Cat's Grace	tran			V,S,M	1std	touch	creature touched	1 min/lvl	will neg (h/l)	y	Subject gains +4 to Dex for 1 min./level.	PHB	208	2		2		2	2	
		Cat's Grace, Mass	tran			V,S,M	1std	close	one creature/level, no two of which can be more than 30 ft apart	1 min/lvl	will neg (h/l)	y	As cat's grace, affects one subject/level.	PHB	208	6		6			6	
		Cause Fear	nec		fear, mind-affecting	V,S	1std	close	one living creature with 5 or fewer hd	1d4 rds or 1 rd; see text	will part	y	One creature of 5 HD or less flees for 1d4 rounds.	PHB	208	1	1				1	
		Chain Lightning	evo		electricity	V,S,F	1std	long	one primary target, plus one secondary target/level (each of which must be within 30 ft of the primary target)	instant	ref ½	y	1d6/level damage; 1 secondary bolt/level each deals half damage.	PHB	208						6	
		Changestaff	tran			V,S,F	1rd	touch	your touched staff	1 hr/lvl (d)	-	n	Your staff becomes a treant on command.	PHB	208			7				
		Chaos Hammer	evo		chaotic	V,S	1std	med	20-ft-radius burst	instant (1d6 rds); see text	will part; see text	y	Damages and staggers lawful creatures.	PHB	208							
		Charm Animal	ench	charm	mind-affecting	V,S	1std	close	one animal	1 hr/lvl	will neg	y	Makes one animal your friend.	PHB	208			1		1		
		Charm Monster	ench	charm	mind-affecting	V,S	1std	close	one living creature	1 day/lvl	will neg	y	Makes monster believe it is your ally.	PHB	209	3					4	
		Charm Monster, Mass	ench	charm	mind-affecting	V	1std	close	one or more creatures, no two of which can be more than 30 ft apart	1 day/lvl	will neg	y	As charm monster, but all within 30 ft.	PHB	209	6					8	
		Charm Person	ench	charm	mind-affecting	V,S	1std	close	one humanoid creature	1 hr/lvl	will neg	y	Makes one person your friend.	PHB	209	1					1	
		Chill Metal	tran		cold	V,S,DF	1std	close	metal equipment of one creature per two levels, no two of which can be more than 30 ft apart; or 25 lb. of metal/level, none of which can be more than 30 ft away from any of the rest	7 rds	will neg (obj)	y (obj)	Cold metal damages those who touch it.	PHB	209			2				
		Chill Touch	nec			V,S	1std	touch	creature or creatures touched (up to one/level)	instant	fort part or will neg; see text	y	One touch/level deals 1d6 damage and possibly 1 Str damage.	PHB	209						1	
		Circle of Death	nec		death	V,S,M	1std	med	several living creatures within a 40-ft-radius burst	instant	fort neg	y	Kills 1d4/level HD of creatures.	PHB	209						6	
		Clairaudience/Clairvoyance	div	scrying		V,S,F/DF	10min	long	magical sensor	1 min/lvl (d)	-	n	Hear or see at a distance for 1 min./level.	PHB	209	3					3	
		Cloak of Chaos	abj		chaotic	V,S,F	1std	20 ft	one creature/level in a 20-ft-radius burst centered on you	1 rd/lvl (d)	see text	y (h/l)	+4 to AC, +4 resistance, and SR 25 against lawful spells.	PHB	210		8					
		Clone	nec			V,S,M,F	10min	0 ft	one clone	instant	-	n	Duplicate awakens when original dies.	PHB	210						8	
		Cloudkill	con	creation		V,S	1std	med	cloud spreads in 20-ft radius, 20 ft high	1 min/lvl	fort part; see text	n	Kills 3 HD or less; 46 HD save or die, 6+ HD take Con damage.	PHB	210						5	
		Color Spray	ill	pattern	mind-affecting	V,S,M	1std	15 ft	cone-shaped burst	instant; see text	will neg	y	Knocks unconscious, blinds, and/or stuns 1d6 weak creatures.	PHB	210						1	
		Command	ench	compulsion	mind-affecting, language-dependent	V	1std	close	one living creature	1 rd	will neg	y	One subject obeys selected command for 1 round.	PHB	211		1					
		Command Plants	tran			V	1std	close	up to 2 hd/level of plant creatures, no two of which can be more than 30 ft apart	1 day/lvl	will neg	y	Sway the actions of one or more plant creatures.	PHB	211			4		3		
		Command Undead	nec			V,S,M	1std	close	one undead creature	1 day/lvl	will neg; see text	y	Undead creature obeys your commands.	PHB	211						2	
		Command, Greater	ench	compulsion	mind-affecting, language-dependent	V	1std	close	one creature/level, no two of which can be more than 30 ft apart	1 rd/lvl	will neg	y	As command, but affects one subject/level.	PHB	211		5					
		Commune	div			V,S,M,DF,XP	10min	personal	you	1 rd/lvl			Deity answers one yes-or-no question/level.	PHB	211		5					
		Commune with Nature	div			V,S	10min	personal	the ground or terrain, plants, minerals, bodies of water, people, general animal population, presence of woodland creatures, presence of powerful unnatural creatures, or even the general state of the natural setting.	instant			Learn about terrain for 1 mile/level.	PHB	211			5		4		
		Comprehend Languages	div			V,S,M/DF	1std	personal	you	10 min/lvl			You understand all spoken and written languages.	PHB	212	1	1				1	
		Cone of Cold	evo		cold	V,S,M/DF	1std	60 ft	cone-shaped burst	instant	ref ½	y	1d6/level cold damage.	PHB	212						5	
		Confusion	ench	compulsion	mind-affecting	V,S,M/DF	1std	med	all creatures in a 15-ft radius burst	1 rd/lvl	will neg	y	Subjects behave oddly for 1 round/level.	PHB	212	3					4	
		Confusion, Lesser	ench	compulsion	mind-affecting	V,S,DF	1std	close	one living creature	1 rd	will neg	y	One creature is confused for 1 round.	PHB	212	1						
		Consecrate	evo		positive, good	V,S,M,DF	1std	close	20-ft-radius emanation	2 hrs/lvl	-	n	Fills area with positive energy, making undead weaker.	PHB	212		2					
		Contact Other Plane	div			V	10min	personal	you	(c)			Lets you ask question of extraplanar entity.	PHB	212						5	
		Contagion	nec		evil	V,S	1std	touch	living creature touched	instant	fort neg	y	Infects subject with chosen disease.	PHB	213		3	3			4	
		Contingency	evo			V,S,M,F	10min;seetext	personal	you	1 day/lvl or until dis (d)			Sets trigger condition for another spell.	PHB	213						6	
		Continual Flame	evo		light	V,S,M	1std	touch	magical, heatless flame	perm	-	n	Makes a permanent, heatless torch.	PHB	213		3				2	
		Control Plants	tran			V,S,DF	1std	close	up to 2 hd/level of plant creatures, no two of which can be more than 30 ft apart	1 min/lvl	will neg	n	Control actions of one or more plant creatures.	PHB	213			8				
		Control Undead	nec			V,S,M	1std	close	up to 2 hd/level of undead creatures, no two of which can be more than 30 ft apart	1 min/lvl	will neg	y	Undead don't attack you while under your command.	PHB	214						7	
		Control Water	tran		water	V,S,M/DF	1std	long	water in a volume of 10 ft/level by 10 ft/level by 2 ft/level (s)	10 min/lvl (d)	-; see text	n	Raises or lowers bodies of water.	PHB	214		4	4			6	
		Control Weather	tran			V,S	10min;seetext	2 mi	2-mile-radius circle, centered on you; see text	4d12 hrs; see text	-	n	Changes weather in local area.	PHB	214		7	7			7	
		Control Winds	tran		air	V,S	1std	40 ft/level	40 ft/level radius cylinder 40 ft high	10 min/lvl	fort neg	n	Change wind direction and speed.	PHB	214			5				
		Corrupt Weapon	tran			V,S	1std	touch	weapon touched	1 min/lvl	-	n	Weapon strikes true against good foes.	PHB								
		Create Food and Water	con	creation		V,S	10min	close	food and water to sustain three humans or one horse/level for 24 hours	1 day; see text	-	n	Feeds three humans (or one horse)/level.	PHB	214		3					
		Create Greater Undead	nec		evil	V,S,M	1hr	close	one corpse	instant	-	n	Create shadows, wraiths, spectres, or devourers.	PHB	215		8				8	
		Create Undead	nec		evil	V,S,M	1hr	close	one corpse	instant	-	n	Creates ghouls, ghasts, mummies, or mohrgs.	PHB	215		6				6	
		Create Water	con	creation	water	V,S	1std	close	up to 2 gallons of water/level	instant	-	n	Creates 2 gallons/level of pure water	PHB	215		0	0	1		sorc/wiz	
		Creeping Doom	con	summoning		V,S	1rd	close/ 100 ft; see text	one swarm of centipedes per two levels	1 min/lvl	-	n	Swarms of centipedes attack at your command.	PHB	215			7				
		Crown Of Glory	evo			V,S,M,DF	1rd	120 ft	120-ft-radius emanation, centered on you	1 min/lvl	will neg	y	You gain +4 Charisma and enthrall those who hear you.	PHB								
		Crushing Despair	ench	compulsion	mind-affecting	V,S,M	1std	30 ft	cone-shaped burst	1 min/lvl	will neg	y	Subjects take -2 on attack rolls, damage rolls, saves, and checks.	PHB	215	3					4	
		Cure Critical Wounds	con	healing	positive	V,S	1std	touch	creature touched	instant	will ½ (h/l); see text	y (h/l); see text	Cures 4d8 damage +1/level (max +20).	PHB	215	4	4	5				
		Cure Critical Wounds, Mass	con	healing	positive	V,S	1std	close	one creature/level, no two of which can be more than 30 ft apart	instant	will ½ (h/l) or will ½; see text	y (h/l) or y; see text	Cures 4d8 damage +1/level for many creatures.	PHB	215		8	9				
		Cure Light Wounds	con	healing	positive	V,S	1std	touch	creature touched	instant	will ½ (h/l); see text	y (h/l); see text	Cures 1d8 damage +1/level (max +5).	PHB	215	1	1	1	1	2		
		Cure Light Wounds, Mass	con	healing	positive	V,S	1std	close	one creature/level, no two of which can be more than 30 ft apart	instant	will ½ (h/l) or will ½; see text	y (h/l) or y; see text	Cures 1d8 damage +1/level for many creatures.	PHB	216	5	5	6				
		Cure Minor Wounds	con	healing	positive	V,S	1std	touch	creature touched	instant	will ½(h/l); see text	y (h/l); see text	Cures 1 point of damage	PHB	216		0	0				
		Cure Moderate Wounds	con	healing	positive	V,S	1std	touch	creature touched	instant	will ½ (h/l); see text	y (h/l); see text	Cures 2d8 damage +1/level (max +10).	PHB	216	2	2	3	3	3		
		Cure Moderate Wounds, Mass	con	healing	positive	V,S	1std	close	one creature/level, no two of which can be more than 30 ft apart	instant	will ½ (h/l) or will ½; see text	y (h/l) or y; see text	Cures 2d8 damage +1/level for many creatures.	PHB	216	6	6	7				
		Cure Serious Wounds	con	healing	positive	V,S	1std	touch	creature touched	instant	will ½ (h/l); see text	y (h/l); see text	Cures 3d8 damage +1/level (max +15).	PHB	216	3	3	4	4	4		
		Cure Serious Wounds, Mass	con	healing	positive	V,S	1std	close	one creature/level, no two of which can be more than 30 ft apart	instant	will ½ (h/l) or will ½; see text	y (h/l) or y; see text	Cures 3d8 damage +1/level for many creatures.	PHB	216		7	8				
		Curse Water	nec		evil	V,S,M	1min	touch	flask of water touched	instant	will neg (obj)	y (obj)	Makes unholy water.	PHB	216		1					
		Dancing Lights	evo		light	V,S	1std	med	up to four lights, all within a 10-ft-radius area	1 min (d)	-	n	Creates torches or other lights.	PHB	216	0					0	
		Darkness	evo		darkness	V,M/DF	1std	touch	obj touched	10 min/lvl (d)	-	n	20-ft. radius of supernatural shadow.	PHB	216	2	2				2	
		Darkvision	tran			V,S,M	1std	touch	creature touched	1 hr/lvl	-	y (h/l)	See 60 ft. in total darkness.	PHB	216					3	2	
		Daylight	evo		light	V,S	1std	touch	obj touched	10 min/lvl (d)	-	n	60-ft. radius of bright light.	PHB	216	3	3	3	3		3	
		Daze	ench	compulsion	mind-affecting	V,S,M	1std	close	one humanoid creature of 4 hd or less	1 rd	will neg	y	Humanoid creature of 4 HD or less loses next action.	PHB	217	0					0	
		Daze Monster	ench	compulsion	mind-affecting	V,S,M	1std	med	one living creature of 6 hd or less	1 rd	will neg	y	Living creature of 6 HD or less loses next action.	PHB	217	2					2	
		Death Knell	nec		death, ectomancy, evil	V,S	1std	touch	living creature touched	instant/10 min per hd of subject; see text	will neg	y	Kills dying creature; you gain 1d8 temporary hp, +2 to Str, and +1 level.	PHB	217		2					
		Death Ward	nec		ectomancy	V,S,DF	1std	touch	living creature touched	1 min/lvl	will neg (h/l)	y (h/l)	Grants immunity to death spells and negative energy effects.	PHB	217		4	5	4			
		Deathwatch	nec		evil	V,S	1std	30 ft	cone-shaped emanation	10 min/lvl	-	n	Reveals how near death subjects within 30 ft. are.	PHB	217		1					
		Deep Slumber	ench	compulsion	mind-affecting	V,S,M	1rd	close	one or more living creatures within a 10-ft-radius burst	1 min/lvl	will neg	y	Puts 10 HD of creatures to sleep.	PHB	217	3					3	
		Deeper Darkness	evo		darkness	V,M/DF	1std	touch	obj touched	1 day/lvl (d)	-	n	Object sheds supernatural shadow in 60-ft. radius.	PHB	217		3					
		Delay Poison	con	healing		V,S,DF	1std	touch	creature touched	1 hr/lvl	fort neg (h/l)	y (h/l)	Stops poison from harming subject for 1 hour/ level.	PHB	217	2	2	2	2	1		
		Delayed Blast Fireball	evo		fire	V,S,M	1std	long	20-ft-radius spread	5 rds or less; see text	ref ½	y	1d6/level fire damage; you can postpone blast for 5 rounds.	PHB	217						7	
		Demand	ench	compulsion	mind-affecting	V,S,M/DF	10min	see text	one creature	1 rd; see text	will part	y	As sending, plus you can send suggestion.	PHB	217						8	
		Desecrate	evo		negative, evil	V,S,M,DF	1std	close	20-ft-radius emanation	2 hrs/lvl	-	y	Fills area with negative energy, making undead stronger.	PHB	218		2					
		Destruction	nec		death	V,S,F	1std	close	one creature	instant	fort part	y	Kills subject and destroys remains.	PHB	218		7					
		Detect Animals or Plants	div			V,S	1std	long	cone-shaped emanation	(c), ≤ 10 min/lvl (d)	-	n	Detects kinds of animals or plants.	PHB	218			1		1		
		Detect Chaos	div			V,S,DF	1std	60 ft	cone-shaped emanation	(c), ≤ 10 min/lvl (d)	-	n	Reveals creatures, spells, or objects of selected alignment.	PHB	218		1					
		Detect Evil	div			V,S,DF	1std	60 ft	cone-shaped emanation	(c), ≤ 10 min/lvl (d)	-	n	Reveals creatures, spells, or objects of selected alignment.	PHB	218		1					
		Detect Good	div			V,S,DF	1std	60 ft	cone-shaped emanation	(c), ≤ 10 min/lvl (d)	-	n	Reveals creatures, spells, or objects of selected alignment.	PHB	219		1					
		Detect Law	div			V,S,DF	1std	60 ft	cone-shaped emanation	(c), ≤ 10 min/lvl (d)	-	n	Reveals creatures, spells, or objects of selected alignment.	PHB	219		1					
		Detect Magic	div			V,S	1std	60 ft	cone-shaped emanation	(c), ≤ 1 min/lvl (d)	-	n	Detects spells and magic items within 60 ft	PHB	219	0	0	0			0	
		Detect Poison	div			V,S	1std	close	one creature, one obj, or a 5-ft cube	instant	-	n	Detects poison in one creature or object.	PHB	219		0	0	1	1	0	
		Detect Scrying	div			V,S,M	1std	40 ft	40-ft-radius emanation centered on you	1 day	-	n	Alerts you of magical eavesdropping.	PHB	219	4					4	
		Detect Secret Doors	div			V,S	1std	60 ft	cone-shaped emanation	(c), ≤ 1 min/lvl (d)	-	n	Reveals hidden doors within 60 ft.	PHB	220	1					1	
		Detect Snares and Pits	div			V,S	1std	60 ft	cone-shaped emanation	(c), ≤ 10 min/lvl (d)	-	n	Reveals natural or primitive traps.	PHB	220			1		1		
		Detect Thoughts	div		mind-affecting	V,S,F/DF	1std	60 ft	cone-shaped emanation	(c), ≤ 1 min/lvl (d)	will neg; see text	n	Allows listening to surface thoughts.	PHB	220	2					2	
		Detect Undead	div			V,S,M/DF	1std	60 ft	cone-shaped emanation	(c), ≤ 1 min/lvl (d)	-	n	Reveals undead within 60 ft.	PHB	220		1		1		1	
		Dictum	evo		sonic, lawful	V	1std	40 ft	nonlawful creatures in a 40-ft-radius spread centered on you	instant	- or will neg; see text	y	Kills, paralyzes, slows, or deafens nonlawful subjects.	PHB	220		7					
		Dimension Door	con	teleportation		V	1std	long	you and touched objs or other touched willing creatures	instant	- & will neg (obj)	n and y (obj)	Teleports you short distance.	PHB	221	4					4	
		Dimensional Anchor	abj			V,S	1std	med	ray	1 min/lvl	-	y (obj)	Bars extradimensional movement.	PHB	221		4				4	
		Dimensional Lock	abj			V,S	1std	med	20-ft-radius emanation centered on a point in space	1 day/lvl	-	y	Teleportation and interplanar travel blocked for one day/level.	PHB	221		8				8	
		Diminish Plants	tran			V,S,DF	1std	see text	see text	instant	-	n	Reduces size or blights growth of normal plants.	PHB	221			3		3		
		Discern Lies	div			V,S,DF	1std	close	one creature/level, no two of which can be more than 30 ft apart	(c), ≤ 1 rd/lvl	will neg	n	Reveals deliberate falsehoods.	PHB	221		4		3			
		Discern Location	div			V,S,DF	10min	unlimited	one creature or obj	instant	-	n	Reveals exact location of creature or object.	PHB	222		8				8	
		Disguise Self	ill	glamer		V,S	1std	personal	you	10 min/lvl (d)			Changes your appearance.	PHB	222	1					1	
		Disintegrate	tran			V,S,M/DF	1std	med	ray	instant	fort part (obj)	y	Makes one creature or object vanish.	PHB	222						6	
		Dismissal	abj			V,S,DF	1std	close	one extraplanar creature	instant	will neg; see text	y	Forces a creature to return to native plane.	PHB	222		4				5	
		Dispel Chaos	abj		lawful	V,S,DF	1std	touch	you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or obj	1 rd/lvl or until dis, whichever comes first	see text	see text	+4 bonus against attacks by chaotic creatures.	PHB	222		5		4			
		Dispel Evil	abj		good	V,S,DF	1std	touch	you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or obj	1 rd/lvl or until dis, whichever comes first	see text	see text	+4 bonus against attacks by evil creatures.	PHB	222		5		4			
		Dispel Good	abj		evil	V,S,DF	1std	touch	you and a touched evil creature from another plane; or you and an enchantment or evil spell on a touched creature or obj	1 rd/lvl or until dis, whichever comes first	see text	see text	+4 bonus against attacks by good creatures.	PHB	222		5					
