School	Name	Casting Time	Range	Components	Duration	Target	Saving Throw	 Spell Resistance	Level	Description	Print?
tran	Animal Shapes	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S,DF	1 hr/lvl (d)	up to one willing creature per level, all within 30 ft of each other	---; see text	Yes, Harmless	 Drd 8	As polymorph, except you polymorph up to one willing creature per caster level into an animal of your choice; the spell has no effect on unwilling creatures. All creatures must take the same kind of animal form. Recipients remain in the animal form until the spell expires or until you dismiss it for all recipients. In addition, an individual subject may choose to resume its normal form as a full-round action; doing so ends the spell for that subject alone. The maximum HD of an assumed form is equal to the subject's HD or your caster level, whichever is lower, to a maximum of 20 HD at 20th level.	true	One ally/level polymorphs into chosen animal.
ench	Animal Trance	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	(c)	animals or magical beasts with intelligence 1 or 2	will negates; see text	Yes	Brd 2 Drd 2	Your swaying motions and music (or singing, or chanting) compel animals and magical beasts to do nothing but watch you. Only a creature with an Intelligence score of 1 or 2 can be fascinated by this spell. Roll 2d6 to determine the total number of HD worth of creatures that you fascinate. The closest targets are selected first until no more targets within range can be affected.@mynl@A magical beast, a dire animal, or an animal trained to attack or guard is allowed a saving throw; an animal not trained to attack or guard is not.	true	Fascinates 2d6 HD of animals.
nec	Animate Dead	1 Standa Round action	touch	V,S,M	instant	one or more corpses touched	---	NO	 Clr 3 Sor/Wiz 4	This spell turns the bones or bodies of dead creatures into undead skeletons or zombies that follow your spoken commands.@mynl@The undead can follow you, or they can remain in an area and attack any creature (or just a specific kind of creature) entering the place. They remain animated until they are destroyed. (A destroyed skeleton or zombie can't be animated again.)@mynl@Regardless of the type of undead you create with this spell, you can't create more HD of undead than twice your caster level with a single casting of animate dead. (The desecrate spell doubles this limit)@mynl@The undead you create remain under your control indefinitely. No matter how many times you use this spell, however, you can control only 4 HD worth of undead creatures per caster level. If you exceed this number, all the newly created creatures fall under your control, and any excess undead from previous castings become uncontrolled. (You choose which creatures are released.) If you are a cleric, any undead you might command by virtue of your power to command or rebuke undead do not count toward the limit.@mynl@Skeletons: A skeleton can be created only from a mostly intact corpse or skeleton. The corpse must have bones. If a skeleton is made from a corpse, the flesh falls off the bones.@mynl@Zombies: A zombie can be created only from a mostly intact corpse. The corpse must be that of a creature with a true anatomy.@mynl@Material Component: You must place a black onyx gem worth at least 25 gp per Hit Die of the undead into the mouth or eye socket of each corpse you intend to animate. The magic of the spell turns these gems into worthless, burned-out shells.	true	Creates undead skeletons and zombies.
tran	Animate Objects	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S	1  Round/lvl	one small objects per caster level; see text	---	NO	Brd 6 Clr 6 Sor/Wiz 6	You imbue inanimate objects with mobility and a semblance of life. Each such animated object then immediately attacks whomever or whatever you initially designate.@mynl@An animated object can be of any nonmagical material. You may animate one Small or smaller object or an equivalent number of larger objects per caster level. A Medium object counts as two Small or smaller objects, a Large object as four, a Huge object as eight, a Gargantuan object as sixteen, and a Colossal object as thirty-two. You can change the designated target or targets as a move action, as if directing an active spell.@mynl@This spell cannot animate objects carried or worn by a creature.@mynl@Animate objects can be made permanent with a permanency spell.	true	Objects attack your foes.
tran	Animate Plants	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V	1  Round/lvl or 1 hr/lvl; see text	one large plant per three caster levels or all plants within range; see text	---	NO	 Drd 7	You imbue inanimate plants with mobility and a semblance of life. Each animated plant then immediately attacks whomever or whatever you initially designate as though it were an animated object of the appropriate size category. You may animate one Large or smaller plant, or an equivalent number of larger plants, per three caster levels. A Huge plant counts as two Large or smaller plants, a Gargantuan plant as four, and a Colossal plant as eight. You can change the designated target or targets as a move action, as if directing an active spell.@mynl@Use the statistics for animated objects, except that plants smaller than Large usually don't have hardness.@mynl@Animate plants cannot affect plant creatures, nor does it affect nonliving vegetable material.@mynl@Entangle: Alternatively, you may imbue all plants within range with a degree of mobility, which allows them to entwine around creatures in the area. This usage of the spell duplicates the effect of an entangle spell. Spell resistance does not keep creatures from being entangled. This effect lasts 1 hour per caster level.	true	One or more trees animate and fight for you.
tran	Animate Rope	1 Standa Round action	Medium (100 ft. + 10 ft./level)	V,S	1  Round/lvl	one ropelike objects, length up to 50 ft + 5 ft/level; see text	---	NO	Brd 1 Sor/Wiz 1	You can animate a nonliving ropelike object. The maximum length assumes a rope with a 1-inch diameter.@mynl@Reduce the maximum length by 50% for every additional inch of thickness, and increase it by 50% for each reduction of the rope's diameter by half.@mynl@The possible commands are "coil" (form a neat, coiled stack), "coil and knot," "loop," "loop and knot," "tie and knot," and the opposites of all of the above ("uncoil," and so forth). You can give one command each round as a move action, as if directing an active spell.@mynl@The rope can enwrap only a creature or an object within 1 foot of it - it does not snake outward - so it must be thrown near the intended target. Doing so requires a successful ranged touch attack roll (range increment 10 feet). A typical 1- inch-diameter hempen rope has 2 hit points, AC 10, and requires a DC 23 Strength check to burst it. The rope does not deal damage, but it can be used as a trip line or to cause a single opponent that fails a Reflex saving throw to become entangled. A creature capable of spellcasting that is bound by this spell must make a DC 15 Concentration check to cast a spell. An entangled creature can slip free with a DC 20 Escape Artist check.@mynl@The rope itself and any knots tied in it are not magical.@mynl@This spell grants a +2 bonus on any Use Rope checks you make when using the transmuted rope.@mynl@The spell cannot animate objects carried or worn by a creature.	true	Makes a rope move at your command.
abj	Antilife Shell	1 Round	10 ft	V,S,DF	10 min/lvl (d)	10-ft-radius emanation, centered on you	---	Yes	 Clr 6 Drd 6	You bring into being a mobile, hemispherical energy field that prevents the entrance of most types of living creatures.@mynl@The effect hedges out animals, aberrations, dragons, fey, giants, humanoids, magical beasts, monstrous humanoids, oozes, plants, and vermin, but not constructs, elementals, outsiders, or undead.@mynl@This spell may be used only defensively, not aggressively. Forcing an abjuration barrier against creatures that the spell keeps at bay collapses the barrier.	true	10-ft. field hedges out living creatures.
abj	Antimagic Field	1 Standa Round action	10 ft	V,S,M/DF	10 min/lvl (d)	10-ft-radius emanation, centered on you	---	see text	 Clr 8 Sor/Wiz 6	An invisible barrier surrounds you and moves with you. The space within this barrier is impervious to most magical effects, including spells, spell-like abilities, and supernatural abilities. Likewise, it prevents the functioning of any magic items or spells within its confines.@mynl@An antimagic field suppresses any spell or magical effect used within, brought into, or cast into the area, but does not dispel it. Time spent within an antimagic field counts against the suppressed spell's duration.@mynl@Summoned creatures of any type and incorporeal undead wink out if they enter an antimagic field. They reappear in the same spot once the field goes away. Time spent winked out counts normally against the duration of the conjuration that is maintaining the creature. If you cast antimagic field in an area occupied by a summoned creature that has spell resistance, you must make a caster level check (1d20 + caster level) against the creature's spell resistance to make it wink out. (The effects of instantaneous conjurations are not affected by an antimagic field because the conjuration itself is no longer in effect, only its result.)@mynl@A normal creature can enter the area, as can normal missiles. Furthermore, while a magic sword does not function magically within the area, it is still a sword (and a masterwork sword at that). The spell has no effect on golems and other constructs that are imbued with magic during their creation process and are thereafter self-supporting (unless they have been summoned, in which case they are treated like any other summoned creatures). Elementals, corporeal undead, and outsiders are likewise unaffected unless summoned. These creatures' spell-like or supernatural abilities, however, may be temporarily nullified by the field. Dispel magic does not remove the field.@mynl@Two or more antimagic fields sharing any of the same space have no effect on each other. Certain spells, such as wall of force, prismatic sphere, and prismatic wall, remain unaffected by antimagic field (see the individual spell descriptions). Artifacts and deities are unaffected by mortal magic such as this.@mynl@Should a creature be larger than the area enclosed by the barrier, any part of it that lies outside the barrier is unaffected by the field.@mynl@Arcane Material Component: A pinch of powdered iron or iron filings.	true	neg magic within 10 ft.
ench	Antipathy	1hr	Close (25 ft. + 5 ft./2 levels)	V,S,M/DF	2 hrs/lvl (d)	one location (up to a 10-ft cube/level) or one objects	will part	Yes	 Drd 9 Sor/Wiz 8	You cause an object or location to emanate magical vibrations that repel either a specific kind of intelligent creature or creatures of a particular alignment, as defined by you. The kind of creature to be affected must be named specifically. A creature subtype is not specific enough. Likewise, the specific alignment to be repelled must be named.@mynl@Creatures of the designated kind or alignment feel an overpowering urge to leave the area or to avoid the affected item.@mynl@A compulsion forces them to abandon the area or item, shunning it and never willingly returning to it while the spell is in effect. A creature that makes a successful saving throw can stay in the area or touch the item but feels uncomfortable doing so. This distracting discomfort reduces the creature's Dexterity score by 4 points.@mynl@Antipathy counters and dispels sympathy.@mynl@Arcane Material Component: A lump of alum soaked in vinegar.	true	Object or location affected by spell repels certain creatures.
abj	Antiplant Shell	1 Standa Round action	10 ft	V,S,DF	10 min/lvl (d)	10-ft-radius emanation, centered on you	---	Yes	 Drd 4	The antiplant shell spell creates an invisible, mobile barrier that keeps all creatures within the shell protected from attacks by plant creatures or animated plants. As with many abjuration spells, forcing the barrier against creatures that the spell keeps at bay strains and collapses the field.	true	Keeps animated plants at bay.
div	Arcane Eye	10min	unlimited	V,S,M	1 min/lvl (d)	magical sensor	---	NO	 Sor/Wiz 4	You create an invisible magical sensor that sends you visual information. You can create the arcane eye at any point you can see, but it can then travel outside your line of sight without hindrance. An arcane eye travels at 30 feet per round (300 feet per minute) if viewing an area ahead as a human would (primarily looking at the floor) or 10 feet per round (100 feet per minute) if examining the ceiling and walls as well as the floor ahead. It sees exactly as you would see if you were there.@mynl@The eye can travel in any direction as long as the spell lasts. Solid barriers block its passage, but it can pass through a hole or space as small as 1 inch in diameter. The eye can't enter another plane of existence, even through a gate or similar magical portal.@mynl@You must concentrate to use an arcane eye. If you do not concentrate, the eye is inert until you again concentrate.@mynl@Material Component: A bit of bat fur.	true	Invisible floating eye moves 30 ft./round.
abj	Arcane Lock	1 Standa Round action	touch	V,S,M	permanent	the door, chest, or portal touched, up to 30 sq. ft/level in size	---	NO	 Sor/Wiz 2	An arcane lock spell cast upon a door, chest, or portal magically locks it. You can freely pass your own arcane lock without affecting it; otherwise, a door or object secured with this spell can be opened only by breaking in or with a successful dispel magic or knock spell. Add 10 to the normal DC to break open a door or portal affected by this spell. (A knock spell does not remove an arcane lock; it only suppresses the effect for 10 minutes.)@mynl@Material Component: Gold dust worth 25 gp.	true	Magically locks a portal or chest.
uni	Arcane Mark	1 Standa Round action	0 ft	V,S	permanent	one personal rune or mark, all of which must fit within 1 sq. ft	---	NO	 Sor/Wiz 0	This spell allows you to inscribe your personal rune or mark, which can consist of no more than six characters. The writing can be visible or invisible. An arcane mark spell enables you to etch the rune upon any substance without harm to the material upon which it is placed. If an invisible mark is made, a detect magic spell causes it to glow and be visible, though not necessarily understandable.@mynl@See invisibility, true seeing, a gem of seeing, or a robe of eyes likewise allows the user to see an invisible arcane mark. A read magic spell reveals the words, if any. The mark cannot be dispelled, but it can be removed by the caster or by an erase spell.@mynl@If an arcane mark is placed on a living being, normal wear gradually causes the effect to fade in about a month.@mynl@Arcane mark must be cast on an object prior to casting instant summons on the same object (see that spell description for details).	true	Inscribes a personal rune (visible or invisible).
div	Arcane Sight	1 Standa Round action	personal	V,S	1 min/lvl (d)	you			 Sor/Wiz 3	This spell makes your eyes glow blue and allows you to see magical auras within 120 feet of you. The effect is similar to that of a detect magic spell, but arcane sight does not require concentration and discerns aura location and power more quickly.@mynl@You know the location and power of all magical auras within your sight. An aura's power depends on a spell's functioning level or an item's caster level, as noted in the description of the detect magic spell. If the items or creatures bearing the auras are in line of sight, you can make Spellcraft skill checks to determine the school of magic involved in each. (Make one check per aura; DC 15 + spell level, or 15 + one-half caster level for a nonspell effect.)@mynl@If you concentrate on a specific creature within 120 feet of you as a standard action, you can determine whether it has any spellcasting or spell-like abilities, whether these are arcane or divine (spell-like abilities register as arcane), and the strength of the most powerful spell or spell-like ability the creature currently has available for use.@mynl@Arcane sight can be made permanent with a permanency spell.	true	Magical auras become visible to you.
div	Arcane Sight, Greater	1 Standa Round action	personal	V,S	1 min/lvl (d)	you			 Sor/Wiz 7	This spell functions like arcane sight, except that you automatically know which spells or magical effects are active upon any individual or object you see.@mynl@Greater arcane sight doesn't let you identify magic items.@mynl@Unlike arcane sight, this spell cannot be made permanent with a permanency spell.	true	As arcane sight, but also reveals magic effects on creatures and objects.
abj	Armor of Darkness	1 Standa Round action	touch	V,S,DF	10 min/lvl	creature touched	will negates (h/l)	Yes, Harmless		Envelops the warded creature in a shroud of shadows.	true	Shroud grants deflection bonus, darkvision, and other effects.
nec	Astral Projection	30min	touch	V,S,M	see text	you plus one additional willing creature touched per two caster levels	---	Yes	 Clr 9 Sor/Wiz 9	By freeing your spirit from your physical body, this spell allows you to project an astral body onto another plane altogether.@mynl@You can bring the astral forms of other willing creatures with you, provided that these subjects are linked in a circle with you at the time of the casting. These fellow travelers are dependent upon you and must accompany you at all times. If something happens to you during the journey, your companions are stranded wherever you left them.@mynl@You project your astral self onto the Astral Plane, leaving your physical body behind on the Material Plane in a state of suspended animation. The spell projects an astral copy of you and all you wear or carry onto the Astral Plane. Since the Astral Plane touches upon other planes, you can travel astrally to any of these other planes as you will. To enter one, you leave the Astral Plane, forming a new physical body (and equipment) on the plane of existence you have chosen to enter.@mynl@While you are on the Astral Plane, your astral body is connected at all times to your physical body by a silvery cord. If the cord is broken, you are killed, astrally and physically. Luckily, very few things can destroy a silver cord. When a second body is formed on a different plane, the incorporeal silvery cord remains invisibly attached to the new body. If the second body or the astral form is slain, the cord simply returns to your body where it rests on the Material Plane, thereby reviving it from its state of suspended animation. Although astral projections are able to function on the Astral Plane, their actions affect only creatures existing on the Astral Plane; a physical body must be materialized on other planes.@mynl@You and your companions may travel through the Astral Plane indefinitely. Your bodies simply wait behind in a state of suspended animation until you choose to return your spirits to them. The spell lasts until you desire to end it, or until it is terminated by some outside means, such as dispel magic cast upon either the physical body or the astral form, the breaking of the silver cord, or the destruction of your body back on the Material Plane (which kills you).@mynl@Material Component: A jacinth worth at least 1,000 gp, plus a silver bar worth 5 gp for each person to be affected.	true	Projects you and companions onto Astral Plane.
abj	Atonement	1hr	touch	V,S,M,F,DF,XP	instant	living creature touched	---	Yes	 Clr 5 Drd 5	This spell removes the burden of evil acts or misdeeds from the subject. The creature seeking atonement must be truly repentant and desirous of setting right its misdeeds. If the atoning creature committed the evil act unwittingly or under some form of compulsion, atonement operates normally at no cost to you. However, in the case of a creature atoning for deliberate misdeeds and acts of a knowing and willful nature, you must intercede with your deity (requiring you to expend 500 XP) in order to expunge the subject's burden. Many casters first assign a subject of this sort a quest (see geas/quest) or similar penance to determine whether the creature is truly contrite before casting the atonement spell on its behalf.@mynl@Atonement may be cast for one of several purposes, depending on the version selected.@mynl@Reverse Magical Alignment Change: If a creature has had its alignment magically changed, atonement returns its alignment to its original status at no cost in experience points.@mynl@Restore Class: A paladin who has lost her class features due to committing an evil act may have her paladinhood restored to her by this spell.@mynl@Restore Cleric or Druid Spell Powers: A cleric or druid who has lost the ability to cast spells by incurring the anger of his or her deity may regain that ability by seeking atonement from another cleric of the same deity or another druid. If the transgression was intentional, the casting cleric loses 500 XP for his intercession. If the transgression was unintentional, he does not lose XP.@mynl@Redemption or Temptation: You may cast this spell upon a creature of an opposing alignment in order to offer it a chance to change its alignment to match yours. The prospective subject must be present for the entire casting process. Upon completion of the spell, the subject freely chooses whether it retains its original alignment or acquiesces to your offer and changes to your alignment. No duress, compulsion, or magical influence can force the subject to take advantage of the opportunity offered if it is unwilling to abandon its old alignment. This use of the spell does not work on outsiders or any creature incapable of changing its alignment naturally.@mynl@Though the spell description refers to evil acts, atonement can also be used on any creature that has performed acts against its alignment, whether those acts are evil, good, chaotic, or lawful.@mynl@Note: Normally, changing alignment is up to the player. This use of atonement simply offers a believable way for a character to change his or her alignment drastically, suddenly, and definitively.@mynl@Material Component: Burning incense.@mynl@Focus: In addition to your holy symbol or normal divine focus, you need a set of prayer beads (or other prayer device, such as a prayer wheel or prayer book) worth at least 500 gp.@mynl@XP Cost: When cast for the benefit of a creature whose guilt was the result of deliberate acts, the cost to you is 500 XP per casting (see above).	true	Removes burden of misdeeds from subject.
div	Augury	1min	personal	V,S,M,F	instant	you			 Clr 2	An augury can tell you whether a particular action will bring good or bad results for you in the immediate future.@mynl@The base chance for receiving a meaningful reply is 70% + 1% per caster level, to a maximum of 90%; this roll is made secretly. A question may be so straightforward that a successful result is automatic, or so vague as to have no chance of success. If the augury succeeds, you get one of four results:@mynl@Weal (if the action will probably bring good results).@mynl@ Woe (for bad results).@mynl@ Weal and woe (for both).@mynl@ Nothing (for actions that don't have especially good or bad results).@mynl@If the spell fails, you get the "nothing" result. A cleric who gets the "nothing" result has no way to tell whether it was the consequence of a failed or successful augury.@mynl@The augury can see into the future only about half an hour, so anything that might happen after that does not affect the result. Thus, the result might not take into account the long-term consequences of a contemplated action. All auguries cast by the same person about the same topic use the same dice result as the first casting.@mynl@Material Component: Incense worth at least 25 gp.@mynl@Focus: A set of marked sticks, bones, or similar tokens of at least 25 gp value.	true	Learns whether an action will be good or bad.
tran	Awaken	1day	touch	V,S,DF,XP	instant	animal or tree touched	will negates	Yes	 Drd 5	You awaken a tree or animal to humanlike sentience. To succeed, you must make a Will save (DC 10 + the animal's current HD, or the HD the tree will have once awakened).@mynl@The awakened animal or tree is friendly toward you. You have no special empathy or connection with a creature you awaken, although it serves you in specific tasks or endeavors if you communicate your desires to it.@mynl@An awakened tree has characteristics as if it were an animated object, except that it gains the plant type and its Intelligence, Wisdom, and Charisma scores are each 3d6. An awakened plant gains the ability to move its limbs, roots, vines, creepers, and so forth, and it has senses similar to a human's.@mynl@An awakened animal gets 3d6 Intelligence, +1d3 Charisma, and +2 HD. Its type becomes magical beast (augmented animal). An awakened animal can't serve as an animal companion, familiar, or special mount.@mynl@An awakened tree or animal can speak one language that you know, plus one additional language that you know per point of Intelligence bonus (if any).@mynl@XP Cost: 250 XP.	true	Animal or tree gains human intellect.
tran	Baleful Polymorph	1 Standa Round action	Close (25 ft. + 5 ft./2 levels)	V,S	permanent	one creature	fort negates, will part; see text	Yes	 Drd 5 Sor/Wiz 5	As polymorph, except that you change the subject into a Small or smaller animal of no more than 1 HD. If the new form would prove fatal to the creature the subject gets a +4 bonus on the save.@mynl@If the spell succeeds, the subject must also make a Will save. If this second save fails, the creature loses its extraordinary, supernatural, and spell-like abilities, loses its ability to cast spells (if it had the ability), and gains the alignment, special abilities, and Intelligence, Wisdom, and Charisma scores of its new form in place of its own. It still retains its class and level (or HD), as well as all benefits deriving therefrom (such as base attack bonus, base save bonuses, and hit points). It retains any class features (other than spellcasting) that aren't extraordinary, supernatural, or spell-like abilities.@mynl@Incorporeal or gaseous creatures are immune to being polymorphed, and a creature with the shapechanger subtype can revert to its natural form as a standard action.	true	Transforms subject into harmless animal.
